"","Region name","School status","Schools details","num_ord"
"268","Town Of Okotoks","Alert (2-4 cases)","Good Shepherd School","3"
"269","Town Of Stony Plain","Alert (2-4 cases)","Connections for Learning","3"
"270","Town Of Strathmore","Alert (2-4 cases)","Wheatland Elementary School","3"
"271","Town Of Sylvan Lake","Alert (2-4 cases)","Ecole Fox Run School","3"
"272","Town Of Whitecourt","Alert (2-4 cases)","Pat Hardy Primary School","3"
"273","Yellowhead County","Alert (2-4 cases)","Mary Bergeron Elementary School","3"
"274","Yellowhead County","Alert (2-4 cases)","Ecole Pine Grove School","3"
"275","Yellowhead County","Alert (2-4 cases)","Parkland Composite High School","3"
"1","Beaver County","Open","No school status to report","4"
"2","Birch Hills County","Open","No school status to report","4"
"3","City Of Lloydminster","Open","No school status to report","4"
"4","Clearwater County","Open","No school status to report","4"
"5","County Of Forty Mile No. 8","Open","No school status to report","4"
"6","County Of Newell","Open","No school status to report","4"
"7","County Of Northern Lights","Open","No school status to report","4"
"8","County Of Two Hills No. 21","Open","No school status to report","4"
"9","I.d. No. 12 (Jasper National Park)","Open","No schools listed in this geography.","4"
"10","I.d. No. 13 (Elk Island)","Open","No schools listed in this geography.","4"
"11","I.d. No. 24 (Wood Buffalo)","Open","No school status to report","4"
"12","I.d. No. 25 (Willmore Wilderness)","Open","No schools listed in this geography.","4"
"13","I.d. No. 349","Open","No schools listed in this geography.","4"
"14","I.d. No. 4 (Waterton)","Open","No schools listed in this geography.","4"
"15","I.d. No. 9 (Banff)","Open","No school status to report","4"
"16","Kananaskis Improvement District","Open","No schools listed in this geography.","4"
"17","Kneehill County","Open","No school status to report","4"
"18","Lac Ste. Anne County","Open","No school status to report","4"
"19","Lamont County","Open","No school status to report","4"
"20","Municipal District Of Acadia No. 34","Open","No school status to report","4"
"21","Municipal District Of Bighorn No. 8","Open","No school status to report","4"
"22","Municipal District Of Bonnyville No. 87","Open","No school status to report","4"
"23","Municipal District Of Fairview No. 136","Open","No school status to report","4"
"24","Municipal District Of Lesser Slave River No. 124","Open","No school status to report","4"
"25","Municipal District Of Opportunity No. 17","Open","No school status to report","4"
"26","Municipal District Of Pincher Creek No. 9","Open","No school status to report","4"
"27","Municipal District Of Provost No. 52","Open","No school status to report","4"
"28","Municipal District Of Ranchland No. 66","Open","No schools listed in this geography.","4"
"29","Municipal District Of Smoky River No. 130","Open","No school status to report","4"
"30","Municipal District Of Wainwright No. 61","Open","No school status to report","4"
"31","Municipality Of Crowsnest Pass","Open","No school status to report","4"
"32","Northern Sunrise County","Open","No school status to report","4"
"33","Saddle Hills County","Open","No school status to report","4"
"34","Smoky Lake County","Open","No school status to report","4"
"35","Special Areas No. 2","Open","No school status to report","4"
"36","Special Areas No. 3","Open","No school status to report","4"
"37","Special Areas No. 4","Open","No school status to report","4"
"38","Thorhild County","Open","No school status to report","4"
"39","Town Of Canmore","Open","No school status to report","4"
"40","Town Of Drumheller","Open","No school status to report","4"
"41","Town Of Hinton","Open","No school status to report","4"
"42","Vulcan County","Open","No school status to report","4"
"43","Westlock County","Open","No school status to report","4"
"44","Wheatland County","Open","No school status to report","4"
"45","Woodlands County","Open","No school status to report","4"
